src,dst,sample_count,avg_latency_ms
113.171.48.241,113.171.50.45,5,12.19
113.171.50.45,123.29.12.20,5,10.74
123.29.12.20,113.171.143.33,5,42.96
113.171.143.33,113.171.143.18,5,17.35
113.171.143.18,113.171.37.231,5,41.16
113.171.37.231,72.14.213.88,5,39.6
72.14.213.88,64.233.175.91,5,37.59
64.233.175.91,142.251.245.13,5,35.24
142.251.245.13,142.250.197.206,5,500.0
192.168.1.1,100.116.192.1,4,12.45
100.116.192.1,172.17.10.90,4,13.68
172.17.10.90,113.171.48.241,4,22.52
